GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AccountSystemWebSpringBoot,za.ac.nwu.ac.web.sb.controller,AccountTransactionController,0,42,0,0,0,10,0,3,0,3
AccountSystemWebSpringBoot,za.ac.nwu.ac.web.sb.controller,AccountTypeController,0,59,0,0,0,13,0,4,0,4
AccountSystemWebSpringBoot,za.ac.nwu.ac.web.sb.controller,MembersController,0,42,0,0,0,10,0,3,0,3
AccountSystemWebSpringBoot,za.ac.nwu.ac.web.sb,RestServiceApplication,8,0,0,0,3,0,2,0,2,0
AccountSystemWebSpringBoot,za.ac.nwu.ac.web.sb.config,WebConfig,3,0,0,0,1,0,1,0,1,0
AccountSystemWebSpringBoot,za.ac.nwu.ac.web.sb.config,SwaggerConfiguration,40,0,0,0,10,0,3,0,3,0
